                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                   2.23,                 1.1659,                 1.2791,                0.62971,                0.35392,                0.43809,                0.17882,                  2.218,                 1.1343,                 1.2897,              0.0006734,              0.0006734,              0.0006734
                     69,                  2.218,                 1.1581,                 1.2864,                0.63904,                0.35621,                0.44272,                0.18051,                  2.215,                  1.118,                 1.2917,              0.0006536,              0.0006536,              0.0006536
                     70,                  2.211,                 1.1502,                 1.2824,                0.63439,                0.35447,                 0.4399,                0.17986,                 2.2187,                 1.1229,                 1.2893,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.2092,                 1.1555,                 1.2791,                0.62085,                 0.3534,                0.43683,                0.17792,                 2.2242,                 1.1278,                 1.2887,               0.000614,               0.000614,               0.000614
                     72,                 2.2214,                 1.1584,                 1.2739,                0.62982,                0.35787,                0.44198,                0.17799,                 2.2308,                 1.1149,                 1.2874,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.2003,                  1.148,                  1.283,                0.63606,                0.35711,                0.44286,                0.18168,                 2.2087,                 1.1117,                 1.2887,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.2038,                 1.1349,                 1.2723,                0.62803,                0.35877,                0.44347,                0.18124,                 2.2094,                  1.113,                 1.2846,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.1881,                 1.1322,                 1.2786,                0.63608,                0.36034,                0.44643,                 0.1818,                 2.2054,                 1.1084,                 1.2829,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.1884,                  1.143,                 1.2738,                0.62812,                0.35997,                0.44409,                0.18266,                 2.1991,                  1.109,                 1.2794,               0.000515,               0.000515,               0.000515
                     77,                 2.1879,                 1.1307,                 1.2799,                0.62503,                0.36208,                0.44512,                0.18163,                 2.2106,                 1.1084,                 1.2816,              0.0004952,              0.0004952,              0.0004952
