                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                  1.064,                0.61656,                0.86465,                0.54267,                0.43386,                0.44558,                0.27143,                 1.1518,                0.80819,                0.88283,               0.002476,               0.002476,               0.002476
                     79,                 1.0611,                0.61629,                0.86339,                0.54998,                0.42773,                0.44595,                0.27128,                 1.1506,                0.80647,                0.88338,               0.002377,               0.002377,               0.002377
                     80,                 1.0575,                0.61175,                0.86293,                0.55751,                0.42408,                0.44376,                0.26989,                 1.1514,                0.80997,                0.88297,               0.002278,               0.002278,               0.002278
                     81,                 1.0574,                0.60777,                0.86345,                0.56223,                0.42347,                0.44424,                0.27094,                 1.1514,                0.80907,                0.88404,               0.002179,               0.002179,               0.002179
                     82,                 1.0514,                0.60418,                0.86127,                0.55665,                0.42014,                0.44425,                0.27134,                 1.1527,                0.81157,                0.88439,                0.00208,                0.00208,                0.00208
                     83,                 1.0411,                0.59792,                0.85999,                0.56553,                0.42039,                0.44346,                0.27036,                 1.1518,                0.80926,                 0.8834,               0.001981,               0.001981,               0.001981
                     84,                 1.0433,                0.59788,                0.86057,                0.56443,                0.41976,                0.44487,                0.27167,                 1.1491,                0.80817,                0.88305,               0.001882,               0.001882,               0.001882
                     85,                 1.0449,                0.59684,                0.86035,                0.54859,                0.42848,                0.44302,                0.27045,                 1.1511,                0.81031,                0.88396,               0.001783,               0.001783,               0.001783
                     86,                 1.0428,                0.59345,                0.85881,                0.55698,                0.42583,                0.44286,                0.27057,                 1.1526,                0.80942,                0.88376,               0.001684,               0.001684,               0.001684
                     87,                 1.0377,                0.58915,                0.86051,                0.54975,                0.42543,                0.44195,                 0.2696,                 1.1531,                0.81182,                0.88441,               0.001585,               0.001585,               0.001585
                     88,                 1.0338,                0.58529,                0.85929,                0.54896,                0.42801,                0.44214,                0.26902,                 1.1537,                0.81449,                0.88486,               0.001486,               0.001486,               0.001486
                     89,                 1.0328,                0.58397,                0.85894,                0.55771,                0.42651,                0.44321,                0.26991,                 1.1541,                0.81489,                0.88496,               0.001387,               0.001387,               0.001387
                     90,                  1.036,                0.58336,                0.85863,                0.55445,                0.42828,                0.44348,                0.26988,                 1.1533,                0.81374,                0.88438,               0.001288,               0.001288,               0.001288
                     91,                 1.0251,                0.56508,                0.86039,                0.55568,                0.42332,                0.44101,                0.26839,                 1.1556,                0.81705,                 0.8846,               0.001189,               0.001189,               0.001189
                     92,                 1.0119,                0.55367,                0.85615,                0.55327,                0.42275,                0.44141,                0.26866,                 1.1563,                0.81953,                0.88464,                0.00109,                0.00109,                0.00109
                     93,                 1.0058,                0.54761,                0.85624,                0.54938,                0.42561,                0.44042,                0.26779,                 1.1569,                0.82283,                0.88481,               0.000991,               0.000991,               0.000991
                     94,                 1.0032,                 0.5458,                0.85621,                0.55136,                0.42572,                0.44034,                0.26724,                 1.1591,                0.82322,                0.88539,               0.000892,               0.000892,               0.000892
                     95,                 1.0007,                0.54249,                0.85525,                0.54986,                  0.427,                0.43885,                0.26704,                 1.1588,                0.82339,                0.88528,               0.000793,               0.000793,               0.000793
                     96,                0.99385,                0.53801,                0.85309,                0.54893,                0.42577,                 0.4394,                0.26783,                 1.1593,                0.82406,                0.88534,               0.000694,               0.000694,               0.000694
                     97,                0.98989,                0.53535,                0.85272,                0.55053,                0.42205,                0.43893,                0.26797,                 1.1608,                 0.8264,                0.88613,               0.000595,               0.000595,               0.000595
                     98,                0.98714,                0.53163,                0.85133,                0.54898,                0.42239,                0.43866,                 0.2679,                 1.1606,                0.82691,                0.88594,               0.000496,               0.000496,               0.000496
                     99,                0.98428,                0.52993,                 0.8506,                0.55098,                0.42294,                0.43806,                0.26754,                 1.1617,                0.82812,                0.88612,               0.000397,               0.000397,               0.000397
                    100,                0.98423,                0.52792,                0.85169,                 0.5531,                0.42165,                0.43809,                0.26728,                 1.1618,                0.82762,                0.88635,               0.000298,               0.000298,               0.000298
